model,pocket_id,ligand_cluster_id,size,iptm,lscore,gnina_affinity,cnn_score,composite,pocket_pass,posebusters_valid,source_cif
model_1,1,2,137,0.869,0.869,-8.49272,0.13067,0.754,True,True,/path/to/T2413/results/A1+LIG/af3_msa/af3/seed_31/sample_1/model.cif
model_2,1,3,85,0.953,0.953,-7.48088,0.35831,0.73,True,True,/path/to/T2413/results/A1+LIG/af3_msa/bt2/seed_7/sample_0/model.cif
model_3,1,4,46,0.889,0.889,-8.21484,0.66077,0.4578,True,True,/path/to/T2413/results/A1+LIG/af3_msa/bt2/seed_23/sample_3/model.cif
model_4,1,9,13,0.936,0.936,-6.64343,0.76592,0.3909,True,True,/path/to/T2413/results/A1+LIG/af3_msa/bt2/seed_18/sample_3/model.cif
model_5,1,37,1,0.941,0.941,-7.41229,0.65129,0.389,True,True,/path/to/T2413/results/A1+LIG/af3_msa/bt2/seed_4/sample_4/model.cif
